Country,Year,Life expectancy,Mortality ,Infant Mortality,Alcohol,Hepatitis B,Diphtheria,HIV/AIDS,Income composition of resources,Status
Afghanistan,2019,63.2,6.29,46.71,0.01,72,72,0.10,0.432,Developing
Albania,2019,78,8.08,8.72,4.40,99,99,0.10,0.727,Developing
Algeria,2019,77.1,4.72,19.63,0.59,91,91,0.10,0.743,Developing
Angola,2019,63.1,7.98,51.25,5.84,53,57,1.80,0.607,Developing
Antigua and Barbuda,2019,76.5,6.42,5.35,11.88,99,95,9.80,0.816,Developing
Argentina,2019,76.6,7.60,9.79,7.95,83,83,2.80,0.781,Developing
Armenia,2019,76,9.84,10.31,3.77,92,92,0.60,0.684,Developing
Australia,2019,83,6.70,3.00,9.51,95,95,0.20,0.920,Developed
Austria,2019,81.6,9.40,2.99,11.90,85,85,0.40,0.927,Developed
Azerbaijan,2019,71.4,5.60,18.05,1.38,94,94,0.10,0.759,Developing
Bahamas,2019,73.2,6.93,14.56,9.48,89,89,3.40,0.853,Developing
Bahrain,2019,75.8,2.41,5.92,1.18,99,99,0.90,0.907,Developing
Bangladesh,2019,74.3,5.53,25.24,0.00,98,98,0.10,0.559,Developing
Barbados,2019,76,9.07,11.45,9.94,90,90,0.80,0.766,Developing
Belarus,2019,74.8,12.80,2.33,10.57,97,98,0.50,0.776,Developing
Belgium,2019,81.4,9.50,3.63,9.15,97,97,0.20,0.919,Developed
Belize,2019,74.4,4.76,10.47,5.93,98,98,30.30,0.645,Developing
Benin,2019,63.4,8.72,57.93,1.25,76,76,0.90,0.462,Developing
Bhutan,2019,73.1,6.25,23.89,0.07,97,97,0.20,0.673,Developing
Bolivia (Plurinational State of),2019,72.1,6.76,28.36,2.98,75,75,0.10,0.638,Developing
Bosnia and Herzegovina,2019,76.8,10.88,5.14,5.46,80,73,0.10,0.732,Developing
Botswana,2019,62.2,5.71,34.92,5.98,95,95,19.90,0.766,Developing
Brazil,2019,75.9,6.53,13.29,6.12,72,70,5.10,0.747,Developing
Brunei Darussalam,2019,74.3,4.55,9.18,0.69,99,99,0.10,1.000,Developing
Bulgaria,2019,75.1,15.50,5.52,11.18,93,93,0.20,0.798,Developed
Burkina Faso,2019,62.7,7.91,52.25,7.28,91,91,0.70,0.428,Developing
Burundi,2019,63.8,7.77,39.95,4.07,93,93,1.00,0.285,Developing
Côte d'Ivoire,2019,62.9,9.86,59.82,1.70,81,81,1.80,0.589,Developing
